Date;Rate USD/EUR
2021-12-31;1,1326
2021-12-30;1,1334
2021-12-29;1,1303
2021-12-28;1,1331
2021-12-27;1,1312
2021-12-24;1,1317
2021-12-23;1,1310
2021-12-22;1,1301
2021-12-21;1,1295
2021-12-20;1,1273
2021-12-17;1,1330
2021-12-16;1,1336
2021-12-15;1,1262
2021-12-14;1,1309
2021-12-13;1,1278
2021-12-10;1,1273
2021-12-09;1,1311
2021-12-08;1,1299
2021-12-07;1,1256
2021-12-06;1,1287
2021-12-03;1,1291
2021-12-02;1,1339
2021-12-01;1,1314
2021-11-30;1,1363
2021-11-29;1,1276
2021-11-26;1,1291
2021-11-25;1,1223
2021-11-24;1,1206
2021-11-23;1,1259
2021-11-22;1,1278
2021-11-19;1,1271
2021-11-18;1,1345
2021-11-17;1,1316
2021-11-16;1,1368
2021-11-15;1,1444
2021-11-12;1,1448
2021-11-11;1,1460
2021-11-10;1,1558
2021-11-09;1,1577
2021-11-08;1,1579
2021-11-05;1,1519
2021-11-04;1,1569
2021-11-03;1,1578
2021-11-02;1,1603
2021-11-01;1,1578
2021-10-29;1,1645
2021-10-28;1,1593
2021-10-27;1,1617
2021-10-26;1,1618
2021-10-25;1,1603
2021-10-22;1,1630
2021-10-21;1,1637
2021-10-20;1,1623
2021-10-19;1,1655
2021-10-18;1,1604
2021-10-15;1,1602
2021-10-14;1,1602
2021-10-13;1,1562
2021-10-12;1,1555
2021-10-11;1,1574
2021-10-08;1,1569
2021-10-07;1,1562
2021-10-06;1,1542
2021-10-05;1,1602
2021-10-04;1,1636
2021-10-01;1,1600
2021-09-30;1,1579
2021-09-29;1,1654
2021-09-28;1,1678
2021-09-27;1,1698
2021-09-24;1,1719
2021-09-23;1,1715
2021-09-22;1,1729
2021-09-21;1,1738
2021-09-20;1,1711
2021-09-17;1,1780
2021-09-16;1,1763
2021-09-15;1,1824
2021-09-14;1,1814
2021-09-13;1,1780
2021-09-10;1,1841
2021-09-09;1,1838
2021-09-08;1,1827
2021-09-07;1,1860
2021-09-06;1,1864
2021-09-03;1,1872
2021-09-02;1,1846
2021-09-01;1,1817
2021-08-31;1,1834
2021-08-30;1,1801
2021-08-27;1,1761
2021-08-26;1,1767
2021-08-25;1,1736
2021-08-24;1,1740
2021-08-23;1,1718
2021-08-20;1,1671
2021-08-19;1,1696
2021-08-18;1,1723
2021-08-17;1,1767
2021-08-16;1,1772
2021-08-13;1,1765
2021-08-12;1,1739
2021-08-11;1,1718
2021-08-10;1,1722
2021-08-09;1,1761
2021-08-06;1,1807
2021-08-05;1,1850
2021-08-04;1,1861
2021-08-03;1,1885
2021-08-02;1,1886
2021-07-30;1,1891
2021-07-29;1,1873
2021-07-28;1,1807
2021-07-27;1,1810
2021-07-26;1,1787
2021-07-23;1,1767
2021-07-22;1,1775
2021-07-21;1,1772
2021-07-20;1,1775
2021-07-19;1,1766
2021-07-16;1,1802
2021-07-15;1,1809
2021-07-14;1,1812
2021-07-13;1,1844
2021-07-12;1,1852
2021-07-09;1,1858
2021-07-08;1,1838
2021-07-07;1,1831
2021-07-06;1,1838
2021-07-05;1,1866
2021-07-02;1,1823
2021-07-01;1,1884
2021-06-30;1,1884
2021-06-29;1,1888
2021-06-28;1,1910
2021-06-25;1,1950
2021-06-24;1,1936
2021-06-23;1,1951
2021-06-22;1,1894
2021-06-21;1,1891
2021-06-18;1,1898
2021-06-17;1,1937
2021-06-16;1,2124
2021-06-15;1,2108
2021-06-14;1,2112
2021-06-11;1,2125
2021-06-10;1,2174
2021-06-09;1,2195
2021-06-08;1,2182
2021-06-07;1,2162
2021-06-04;1,2117
2021-06-03;1,2187
2021-06-02;1,2186
2021-06-01;1,2225
2021-05-31;1,2201
2021-05-28;1,2142
2021-05-27;1,2198
2021-05-26;1,2229
2021-05-25;1,2264
2021-05-24;1,2212
2021-05-21;1,2188
2021-05-20;1,2203
2021-05-19;1,2212
2021-05-18;1,2222
2021-05-17;1,2143
2021-05-14;1,2123
2021-05-13;1,2081
2021-05-12;1,2118
2021-05-11;1,2170
2021-05-10;1,2169
2021-05-07;1,2059
2021-05-06;1,2060
2021-05-05;1,2005
2021-05-04;1,2021
2021-05-03;1,2044
2021-04-30;1,2082
2021-04-29;1,2129
2021-04-28;1,2070
2021-04-27;1,2088
2021-04-26;1,2085
2021-04-23;1,2066
2021-04-22;1,2046
2021-04-21;1,2007
2021-04-20;1,2051
2021-04-19;1,2035
2021-04-16;1,1986
2021-04-15;1,1970
2021-04-14;1,1964
2021-04-13;1,1896
2021-04-12;1,1904
2021-04-09;1,1888
2021-04-08;1,1873
2021-04-07;1,1884
2021-04-06;1,1812
2021-04-01;1,1746
2021-03-31;1,1725
2021-03-30;1,1741
2021-03-29;1,1784
2021-03-26;1,1782
2021-03-25;1,1802
2021-03-24;1,1825
2021-03-23;1,1883
2021-03-22;1,1926
2021-03-19;1,1891
